customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,num_support_tickets,payment_method,churn
CUST_00053,63,86.88,5790.74,One year,Fiber optic,0,Credit card (automatic),0
CUST_00054,52,49.94,2960.85,One year,Fiber optic,1,Electronic check,0
CUST_00055,14,27.89,428.72,One year,No,2,Credit card (automatic),0
CUST_00056,46,78.1,3463.65,One year,DSL,0,Electronic check,0
CUST_00057,60,76.2,4995.69,Month-to-month,DSL,0,Credit card (automatic),0
CUST_00058,25,25.2,626.56,One year,Fiber optic,1,Credit card (automatic),0
CUST_00059,19,44.03,812.7,Month-to-month,Fiber optic,0,Bank transfer (automatic),1
CUST_00060,63,56.33,3607.65,Month-to-month,No,0,Credit card (automatic),0
CUST_00061,10,53.1,463.62,One year,No,1,Credit card (automatic),0
CUST_00062,66,93.34,5724.79,Month-to-month,Fiber optic,1,Electronic check,1
CUST_00063,35,87.17,3123.38,One year,No,2,Electronic check,0
CUST_00064,52,67.51,3107.56,One year,DSL,1,Electronic check,0
CUST_00065,27,41.0,1077.09,One year,Fiber optic,2,Mailed check,0
CUST_00066,52,69.11,3947.0,One year,No,2,Bank transfer (automatic),0
CUST_00067,67,76.89,5760.15,One year,Fiber optic,1,Mailed check,0
CUST_00068,36,58.43,1903.07,Month-to-month,No,0,Bank transfer (automatic),0
CUST_00069,16,20.32,368.51,Month-to-month,DSL,1,Mailed check,1
CUST_00070,6,38.74,230.12,Month-to-month,DSL,2,Electronic check,1
CUST_00071,67,75.43,4526.09,Month-to-month,Fiber optic,2,Electronic check,0
CUST_00072,72,85.44,6614.43,Month-to-month,No,2,Credit card (automatic),0
CUST_00073,47,88.2,3629.49,Two year,DSL,2,Mailed check,0
CUST_00074,2,47.63,101.88,Month-to-month,No,2,Electronic check,1
CUST_00075,64,93.96,6371.18,Month-to-month,DSL,2,Electronic check,1
CUST_00076,36,65.94,2471.65,Month-to-month,Fiber optic,1,Credit card (automatic),0
CUST_00077,17,35.43,661.48,Month-to-month,Fiber optic,0,Electronic check,1
CUST_00078,27,50.52,1496.15,One year,DSL,1,Bank transfer (automatic),0
CUST_00079,68,78.53,5245.12,One year,Fiber optic,4,Electronic check,0
CUST_00080,56,59.49,3347.84,One year,Fiber optic,1,Electronic check,0
CUST_00081,43,60.92,2554.95,One year,Fiber optic,0,Bank transfer (automatic),0
CUST_00082,53,53.96,2957.37,Month-to-month,DSL,0,Bank transfer (automatic),0
CUST_00083,62,91.88,5734.93,Two year,DSL,2,Bank transfer (automatic),0
CUST_00084,46,74.7,3226.49,Month-to-month,No,3,Electronic check,0
CUST_00085,23,44.33,996.05,Month-to-month,Fiber optic,1,Credit card (automatic),0
CUST_00086,6,31.52,192.78,Month-to-month,No,2,Bank transfer (automatic),0
CUST_00087,9,42.11,413.11,One year,Fiber optic,1,Credit card (automatic),0
CUST_00088,18,52.03,834.02,Month-to-month,No,1,Electronic check,1
CUST_00089,56,72.74,4149.39,Month-to-month,DSL,3,Mailed check,0
CUST_00090,7,37.81,299.46,Month-to-month,Fiber optic,3,Electronic check,0
CUST_00091,10,30.74,298.99,Month-to-month,Fiber optic,0,Bank transfer (automatic),1
CUST_00092,71,85.65,5294.07,One year,DSL,0,Bank transfer (automatic),0
CUST_00093,29,51.9,1662.93,Month-to-month,DSL,0,Mailed check,0
CUST_00094,10,36.27,331.42,Month-to-month,Fiber optic,1,Electronic check,1
CUST_00095,63,92.9,6199.26,Month-to-month,No,2,Electronic check,0
CUST_00096,70,79.37,5492.22,One year,Fiber optic,0,Electronic check,0
CUST_00097,37,42.34,1773.76,Month-to-month,DSL,1,Credit card (automatic),0
CUST_00098,9,52.75,513.72,Month-to-month,No,1,Electronic check,0
CUST_00099,46,73.56,3690.27,Month-to-month,DSL,0,Electronic check,0
CUST_00100,63,58.88,3821.45,Two year,DSL,0,Mailed check,0
CUST_00101,70,96.64,6033.15,Two year,No,3,Electronic check,0
CUST_00102,42,74.21,2807.65,One year,Fiber optic,0,Credit card (automatic),0
CUST_00103,68,80.25,4710.89,Month-to-month,No,1,Electronic check,0
CUST_00104,60,86.76,5407.81,Two year,No,1,Credit card (automatic),0
CUST_00105,12,52.43,665.03,One year,Fiber optic,1,Bank transfer (automatic),0
CUST_00106,46,69.52,2915.72,One year,DSL,1,Bank transfer (automatic),0
CUST_00107,48,89.12,4738.34,Month-to-month,DSL,0,Mailed check,0
CUST_00108,56,77.6,4154.51,Month-to-month,No,0,Bank transfer (automatic),0
CUST_00109,39,57.42,2050.88,Month-to-month,No,0,Bank transfer (automatic),0
CUST_00110,53,78.9,4496.11,Two year,Fiber optic,3,Electronic check,0
CUST_00111,43,67.83,3027.58,Month-to-month,Fiber optic,2,Credit card (automatic),1
CUST_00112,19,33.43,577.88,Month-to-month,DSL,0,Mailed check,0
CUST_00113,35,44.14,1699.0,Month-to-month,DSL,1,Mailed check,0
CUST_00114,68,68.61,4112.5,One year,No,0,Mailed check,0
CUST_00115,61,76.59,4237.61,Month-to-month,DSL,1,Bank transfer (automatic),0
CUST_00116,47,76.74,3896.19,Two year,Fiber optic,1,Mailed check,0
CUST_00117,24,57.12,1387.56,One year,No,2,Mailed check,0
CUST_00118,15,39.03,573.65,One year,Fiber optic,0,Electronic check,1
CUST_00119,21,76.24,1433.97,Month-to-month,Fiber optic,2,Mailed check,1
CUST_00120,23,68.09,1373.32,One year,DSL,1,Electronic check,0
CUST_00121,70,70.05,4807.81,One year,DSL,0,Credit card (automatic),0
CUST_00122,39,69.15,3088.47,One year,DSL,1,Electronic check,0
CUST_00123,29,42.95,1291.34,Month-to-month,DSL,2,Credit card (automatic),0
CUST_00124,64,79.41,4804.79,Month-to-month,DSL,0,Bank transfer (automatic),0
CUST_00125,27,39.12,1214.49,Month-to-month,DSL,2,Bank transfer (automatic),1
CUST_00126,58,64.12,4274.02,Month-to-month,DSL,0,Credit card (automatic),0
CUST_00127,47,79.09,3536.18,Month-to-month,DSL,2,Electronic check,1
CUST_00128,22,41.65,838.58,Month-to-month,No,1,Bank transfer (automatic),0
CUST_00129,70,68.05,4326.61,Month-to-month,DSL,0,Electronic check,0
CUST_00130,50,56.75,2912.25,One year,Fiber optic,0,Electronic check,0
CUST_00131,72,75.77,5151.6,Month-to-month,No,1,Mailed check,0
CUST_00132,1,35.25,50.0,Two year,DSL,1,Bank transfer (automatic),0
CUST_00133,21,65.23,1310.04,One year,Fiber optic,2,Credit card (automatic),0
CUST_00134,24,41.84,1036.9,Month-to-month,No,0,Electronic check,0
CUST_00135,49,76.55,3468.52,One year,Fiber optic,0,Bank transfer (automatic),0
CUST_00136,61,71.42,4331.77,Month-to-month,DSL,1,Electronic check,0
CUST_00137,9,35.49,334.52,Two year,Fiber optic,1,Electronic check,0
CUST_00138,11,64.21,810.23,Month-to-month,Fiber optic,2,Electronic check,1
CUST_00139,49,66.57,3070.11,One year,Fiber optic,1,Bank transfer (automatic),0
CUST_00140,26,63.14,1767.2,Month-to-month,DSL,1,Mailed check,0
CUST_00141,51,75.16,3954.39,Month-to-month,DSL,4,Electronic check,1
CUST_00142,1,30.06,50.0,Month-to-month,No,1,Electronic check,1
CUST_00143,38,49.6,1948.56,Two year,DSL,1,Bank transfer (automatic),0
CUST_00144,2,27.4,50.0,One year,DSL,0,Credit card (automatic),0
CUST_00145,69,83.07,5281.33,Month-to-month,Fiber optic,0,Electronic check,0
CUST_00146,11,51.88,607.09,Month-to-month,No,2,Bank transfer (automatic),0
CUST_00147,13,28.45,396.72,Month-to-month,DSL,0,Bank transfer (automatic),0
CUST_00148,8,33.89,281.68,Month-to-month,DSL,1,Mailed check,1
CUST_00149,16,52.06,757.49,Month-to-month,Fiber optic,0,Electronic check,1
CUST_00150,36,52.79,1676.77,Month-to-month,Fiber optic,3,Credit card (automatic),1
CUST_00151,45,44.8,2158.79,Two year,Fiber optic,3,Mailed check,0
CUST_00152,65,69.16,4680.6,Two year,No,0,Mailed check,0
CUST_00153,64,88.02,5732.16,Month-to-month,DSL,1,Credit card (automatic),1
CUST_00154,7,31.59,189.24,One year,DSL,0,Credit card (automatic),1
CUST_00155,31,38.33,1230.64,Month-to-month,Fiber optic,0,Bank transfer (automatic),1
CUST_00156,63,80.76,5513.43,One year,DSL,1,Credit card (automatic),0
CUST_00157,12,34.7,411.95,Month-to-month,Fiber optic,1,Electronic check,1
CUST_00158,49,63.41,2688.7,One year,Fiber optic,4,Credit card (automatic),0
CUST_00159,31,45.72,1327.86,One year,DSL,0,Electronic check,0
CUST_00160,13,44.34,520.03,One year,Fiber optic,0,Credit card (automatic),0
CUST_00161,5,30.17,156.19,Month-to-month,DSL,1,Mailed check,1
CUST_00162,21,32.64,607.75,Two year,Fiber optic,2,Electronic check,0
CUST_00163,1,60.01,51.75,Month-to-month,Fiber optic,3,Mailed check,1
CUST_00164,14,24.28,372.39,Month-to-month,Fiber optic,0,Bank transfer (automatic),1
CUST_00165,40,65.97,2972.99,One year,DSL,1,Mailed check,0
CUST_00166,57,89.62,5635.53,Month-to-month,No,2,Credit card (automatic),1
CUST_00167,37,59.66,2262.85,Two year,No,0,Electronic check,0
CUST_00168,53,64.61,3277.09,Two year,No,0,Electronic check,0
CUST_00169,6,18.0,94.4,Month-to-month,No,1,Bank transfer (automatic),0
CUST_00170,22,56.67,1205.71,Two year,DSL,0,Mailed check,0
CUST_00171,48,53.9,2341.63,Month-to-month,Fiber optic,1,Bank transfer (automatic),0
CUST_00172,4,44.37,193.86,Month-to-month,DSL,1,Credit card (automatic),1
CUST_00173,43,77.23,3653.34,Month-to-month,No,1,Bank transfer (automatic),0
CUST_00174,13,25.24,325.19,Two year,DSL,1,Mailed check,0
CUST_00175,31,43.96,1284.09,Month-to-month,DSL,2,Bank transfer (automatic),0
CUST_00176,46,66.08,3221.49,Month-to-month,Fiber optic,2,Credit card (automatic),1
CUST_00177,72,93.64,6999.61,Month-to-month,DSL,0,Bank transfer (automatic),0
CUST_00178,7,32.43,232.5,Two year,Fiber optic,2,Credit card (automatic),0
CUST_00179,40,58.13,2621.87,Two year,DSL,0,Electronic check,0
CUST_00180,39,50.18,1827.55,One year,Fiber optic,0,Bank transfer (automatic),0
CUST_00181,5,42.93,203.76,Two year,No,1,Electronic check,0
CUST_00182,45,66.88,2607.45,Two year,Fiber optic,3,Bank transfer (automatic),0
CUST_00183,6,25.65,140.96,Month-to-month,DSL,1,Credit card (automatic),1
CUST_00184,50,52.61,2606.51,Month-to-month,DSL,0,Credit card (automatic),0
CUST_00185,15,28.74,472.56,One year,DSL,1,Electronic check,0
CUST_00186,10,45.77,414.99,One year,DSL,0,Credit card (automatic),0
CUST_00187,6,39.01,235.66,Month-to-month,Fiber optic,3,Electronic check,1
CUST_00188,34,49.79,1595.75,Month-to-month,DSL,2,Mailed check,0
CUST_00189,17,23.05,425.36,One year,DSL,1,Bank transfer (automatic),0
CUST_00190,34,57.95,2052.05,Month-to-month,DSL,2,Mailed check,1
CUST_00191,65,71.65,4035.32,Two year,No,1,Electronic check,0
CUST_00192,61,79.67,4368.35,Month-to-month,DSL,4,Bank transfer (automatic),1
CUST_00193,55,59.71,3543.97,Month-to-month,DSL,0,Bank transfer (automatic),0
CUST_00194,34,62.66,2244.53,Two year,Fiber optic,2,Bank transfer (automatic),0
CUST_00195,9,22.77,181.33,Month-to-month,DSL,1,Bank transfer (automatic),1
CUST_00196,30,45.33,1278.96,Month-to-month,No,0,Bank transfer (automatic),0
CUST_00197,2,50.73,94.52,One year,DSL,3,Mailed check,0
CUST_00198,9,30.06,268.21,Two year,Fiber optic,1,Electronic check,0
CUST_00199,22,34.33,647.86,Month-to-month,Fiber optic,1,Bank transfer (automatic),1
CUST_00200,51,82.96,4269.49,Month-to-month,No,1,Bank transfer (automatic),0
CUST_00201,57,69.54,3567.21,One year,Fiber optic,0,Electronic check,0
CUST_00202,45,63.4,3053.9,Two year,Fiber optic,1,Electronic check,0
CUST_00203,19,50.95,982.06,Month-to-month,Fiber optic,1,Credit card (automatic),1
CUST_00204,52,70.06,3957.24,Month-to-month,Fiber optic,1,Credit card (automatic),1
CUST_00205,72,92.44,6915.01,Month-to-month,Fiber optic,2,Bank transfer (automatic),0
CUST_00206,48,58.05,3128.53,Month-to-month,Fiber optic,3,Credit card (automatic),0
CUST_00207,55,72.43,4527.0,Month-to-month,Fiber optic,3,Credit card (automatic),1
CUST_00208,64,98.55,6539.11,One year,DSL,0,Bank transfer (automatic),0
CUST_00209,52,63.12,3407.51,Month-to-month,DSL,2,Electronic check,0
CUST_00210,64,86.02,5266.68,Month-to-month,Fiber optic,2,Bank transfer (automatic),1
CUST_00211,22,68.0,1690.82,One year,DSL,1,Credit card (automatic),0
CUST_00212,23,60.64,1526.45,One year,Fiber optic,2,Bank transfer (automatic),0
CUST_00213,13,43.38,521.59,Month-to-month,DSL,1,Electronic check,1
CUST_00214,14,31.08,404.28,Two year,Fiber optic,1,Credit card (automatic),0
CUST_00215,40,49.52,2124.51,One year,Fiber optic,0,Bank transfer (automatic),0
CUST_00216,67,79.39,5081.5,One year,Fiber optic,1,Mailed check,0
CUST_00217,16,41.85,734.32,Month-to-month,Fiber optic,0,Credit card (automatic),0
CUST_00218,52,86.37,5052.72,Month-to-month,DSL,1,Bank transfer (automatic),0
CUST_00219,6,31.21,165.66,Two year,DSL,0,Credit card (automatic),0
CUST_00220,70,78.65,5539.89,Month-to-month,Fiber optic,1,Credit card (automatic),0
CUST_00221,38,58.74,2491.87,Month-to-month,No,1,Electronic check,0
CUST_00222,36,64.55,2359.68,Month-to-month,Fiber optic,1,Credit card (automatic),1
CUST_00223,26,54.34,1262.64,One year,Fiber optic,1,Mailed check,0
CUST_00224,70,78.02,5938.35,Two year,Fiber optic,0,Credit card (automatic),0
CUST_00225,31,40.86,1154.59,Month-to-month,Fiber optic,1,Credit card (automatic),0
CUST_00226,9,58.62,526.89,Two year,Fiber optic,3,Credit card (automatic),0
CUST_00227,41,59.16,2765.83,Month-to-month,Fiber optic,1,Credit card (automatic),1
CUST_00228,43,71.34,3426.38,One year,DSL,2,Credit card (automatic),0
CUST_00229,54,69.08,3852.9,One year,DSL,2,Electronic check,0
CUST_00230,36,54.37,1755.97,Month-to-month,Fiber optic,2,Mailed check,1
CUST_00231,21,47.77,968.87,Month-to-month,Fiber optic,0,Electronic check,1
CUST_00232,1,18.0,50.0,Month-to-month,Fiber optic,0,Credit card (automatic),1
CUST_00233,72,77.64,5885.25,Two year,DSL,2,Bank transfer (automatic),0
CUST_00234,14,63.3,955.71,One year,DSL,2,Bank transfer (automatic),0
CUST_00235,26,60.21,1623.88,Two year,Fiber optic,1,Electronic check,0
CUST_00236,12,39.6,490.64,Two year,DSL,0,Bank transfer (automatic),0
CUST_00237,17,25.73,412.87,Month-to-month,No,0,Mailed check,0
CUST_00238,5,40.65,200.34,One year,DSL,2,Credit card (automatic),0
CUST_00239,25,48.62,1391.3,Month-to-month,Fiber optic,1,Credit card (automatic),1
CUST_00240,69,74.89,5801.74,Month-to-month,Fiber optic,0,Bank transfer (automatic),1
CUST_00241,17,51.02,922.8,Two year,DSL,3,Credit card (automatic),0
CUST_00242,70,63.83,4960.49,One year,DSL,0,Electronic check,0
CUST_00243,46,41.47,2026.56,Month-to-month,DSL,1,Electronic check,0
CUST_00244,65,80.56,5454.98,Month-to-month,DSL,0,Bank transfer (automatic),0
CUST_00245,45,71.94,3486.85,One year,DSL,2,Bank transfer (automatic),0
CUST_00246,72,90.12,5996.41,Two year,Fiber optic,1,Electronic check,0
CUST_00247,40,70.74,3223.33,One year,DSL,1,Electronic check,0
CUST_00248,60,92.64,5448.59,Month-to-month,Fiber optic,3,Bank transfer (automatic),0
CUST_00249,3,54.22,140.4,Month-to-month,DSL,2,Electronic check,1
CUST_00250,68,93.55,5765.23,Month-to-month,No,0,Mailed check,0
CUST_00251,2,36.3,76.14,One year,Fiber optic,2,Mailed check,0
CUST_00252,15,47.9,753.99,Two year,No,2,Credit card (automatic),0
CUST_00253,54,79.89,4368.72,Month-to-month,No,2,Electronic check,0
CUST_00254,19,30.79,585.46,Month-to-month,DSL,2,Electronic check,1
CUST_00255,4,43.74,181.98,Month-to-month,Fiber optic,1,Electronic check,1
CUST_00256,63,91.42,6142.41,One year,DSL,2,Electronic check,0
CUST_00257,37,34.71,1169.39,Two year,No,0,Bank transfer (automatic),0
CUST_00258,35,76.09,2428.07,Month-to-month,Fiber optic,1,Mailed check,1
CUST_00259,23,56.26,1113.99,Month-to-month,Fiber optic,4,Electronic check,1
CUST_00260,52,74.11,3973.86,One year,No,2,Credit card (automatic),0
CUST_00261,23,41.68,922.16,Month-to-month,No,0,Credit card (automatic),0
CUST_00262,41,55.74,2584.52,Two year,No,0,Electronic check,0
CUST_00263,10,79.74,757.95,Month-to-month,DSL,4,Electronic check,1
CUST_00264,23,49.27,1155.19,Month-to-month,DSL,2,Credit card (automatic),1
CUST_00265,3,28.01,80.14,Two year,DSL,1,Bank transfer (automatic),0
CUST_00266,21,42.03,844.63,Month-to-month,Fiber optic,0,Credit card (automatic),0
CUST_00267,28,37.22,999.27,Month-to-month,Fiber optic,0,Electronic check,0
CUST_00268,54,71.7,4000.0,Month-to-month,DSL,0,Credit card (automatic),0
CUST_00269,60,76.65,4414.64,Month-to-month,Fiber optic,3,Electronic check,0
CUST_00270,39,66.71,2326.83,Month-to-month,DSL,1,Electronic check,0
CUST_00271,67,70.58,4253.91,Month-to-month,Fiber optic,1,Bank transfer (automatic),0
CUST_00272,26,56.75,1487.65,Month-to-month,No,4,Bank transfer (automatic),0
CUST_00273,36,46.24,1631.71,Month-to-month,Fiber optic,1,Electronic check,0
CUST_00274,45,59.12,2957.81,One year,Fiber optic,1,Electronic check,0
CUST_00275,13,31.96,358.4,One year,DSL,4,Credit card (automatic),0
CUST_00276,31,20.46,589.44,Month-to-month,DSL,0,Electronic check,0
CUST_00277,65,77.64,5337.01,Month-to-month,Fiber optic,1,Electronic check,0
CUST_00278,35,43.57,1609.19,Month-to-month,Fiber optic,2,Electronic check,0
CUST_00279,68,100.21,5948.45,Two year,DSL,0,Electronic check,0
CUST_00280,49,59.89,2711.83,Two year,No,0,Credit card (automatic),0
CUST_00281,13,48.4,577.88,Month-to-month,Fiber optic,1,Electronic check,1
CUST_00282,33,59.61,2238.23,Month-to-month,No,1,Bank transfer (automatic),0
CUST_00283,27,42.85,1302.96,Month-to-month,Fiber optic,2,Bank transfer (automatic),1
CUST_00284,69,79.65,6290.63,Month-to-month,No,1,Electronic check,0
CUST_00285,25,53.89,1204.29,One year,DSL,0,Bank transfer (automatic),0
CUST_00286,35,65.61,2430.82,Month-to-month,DSL,1,Electronic check,0
CUST_00287,50,88.9,4475.05,Month-to-month,No,3,Credit card (automatic),1
CUST_00288,70,82.12,6182.08,Month-to-month,No,2,Credit card (automatic),0
CUST_00289,40,82.01,2996.49,Month-to-month,Fiber optic,4,Credit card (automatic),1
CUST_00290,62,80.84,4305.09,Month-to-month,DSL,3,Mailed check,1
CUST_00291,9,48.83,388.49,Two year,DSL,1,Credit card (automatic),0
CUST_00292,65,88.76,5778.96,Month-to-month,Fiber optic,0,Bank transfer (automatic),0
CUST_00293,15,34.01,583.57,Two year,No,3,Mailed check,0
CUST_00294,55,81.31,3848.3,Month-to-month,DSL,2,Electronic check,1
CUST_00295,39,56.56,2263.42,Two year,DSL,3,Electronic check,0
CUST_00296,44,70.13,2805.9,Two year,Fiber optic,0,Electronic check,0
CUST_00297,7,21.56,131.56,Two year,Fiber optic,1,Electronic check,0
CUST_00298,39,69.07,2793.93,Two year,Fiber optic,2,Credit card (automatic),0
CUST_00299,7,39.46,265.88,One year,Fiber optic,0,Credit card (automatic),0
CUST_00300,40,66.81,2867.26,One year,No,2,Electronic check,0
CUST_00301,30,72.84,2099.08,One year,DSL,3,Credit card (automatic),0
CUST_00302,15,45.02,594.26,Month-to-month,Fiber optic,1,Bank transfer (automatic),1
CUST_00303,36,81.6,3142.69,Month-to-month,Fiber optic,2,Mailed check,0
CUST_00304,16,29.08,486.65,Month-to-month,Fiber optic,1,Credit card (automatic),1
CUST_00305,6,29.69,199.71,Two year,No,1,Bank transfer (automatic),0
CUST_00306,3,18.0,57.18,Month-to-month,Fiber optic,1,Bank transfer (automatic),1
CUST_00307,25,50.44,1076.72,Month-to-month,Fiber optic,2,Electronic check,1
CUST_00308,54,58.46,3468.15,One year,DSL,1,Electronic check,0
CUST_00309,42,41.96,1790.29,Month-to-month,Fiber optic,0,Credit card (automatic),0
CUST_00310,9,18.0,138.26,Month-to-month,DSL,0,Electronic check,1
CUST_00311,32,44.92,1567.93,Month-to-month,DSL,0,Electronic check,0
CUST_00312,42,70.65,3207.98,Month-to-month,Fiber optic,2,Electronic check,1
CUST_00313,17,48.84,954.66,Month-to-month,Fiber optic,1,Mailed check,1
CUST_00314,10,58.52,582.2,Month-to-month,No,3,Mailed check,1
CUST_00315,18,55.23,1077.29,Month-to-month,Fiber optic,1,Credit card (automatic),1
CUST_00316,5,19.96,106.16,Month-to-month,No,1,Mailed check,1
CUST_00317,18,39.49,709.75,Month-to-month,DSL,2,Credit card (automatic),1
CUST_00318,39,67.51,2375.45,One year,Fiber optic,2,Bank transfer (automatic),0
CUST_00319,58,73.9,4214.45,Month-to-month,No,0,Bank transfer (automatic),0
CUST_00320,63,96.46,5450.54,Two year,Fiber optic,1,Electronic check,0
CUST_00321,49,65.24,3009.61,Two year,No,1,Electronic check,0
CUST_00322,26,55.01,1590.18,Month-to-month,Fiber optic,0,Credit card (automatic),1
CUST_00323,68,86.69,5458.69,Month-to-month,DSL,2,Credit card (automatic),0
CUST_00324,67,82.89,6097.82,Month-to-month,Fiber optic,0,Mailed check,0
CUST_00325,26,50.46,1127.9,Two year,DSL,0,Credit card (automatic),0
CUST_00326,1,25.53,50.0,One year,DSL,0,Credit card (automatic),0
CUST_00327,32,38.89,1334.3,Two year,DSL,0,Electronic check,0
CUST_00328,34,64.52,2434.23,Month-to-month,DSL,2,Bank transfer (automatic),0
CUST_00329,49,71.92,3021.99,One year,Fiber optic,0,Credit card (automatic),0
CUST_00330,11,35.08,420.23,Month-to-month,,0,Credit card (automatic),0
CUST_00331,40,28.35,1266.93,One year,Fiber optic,1,Electronic check,0
CUST_00332,23,45.78,943.5,Month-to-month,No,1,Electronic check,1
CUST_00333,36,66.44,2070.69,One year,Fiber optic,1,Mailed check,0
CUST_00334,2,19.34,50.0,Two year,DSL,1,Electronic check,0
CUST_00335,39,73.49,2639.93,Month-to-month,DSL,1,Electronic check,1
CUST_00336,3,29.05,79.05,One year,No,2,Bank transfer (automatic),0
CUST_00337,62,79.76,5079.88,Month-to-month,Fiber optic,2,Mailed check,0
CUST_00338,52,78.07,3759.07,One year,No,2,Electronic check,0
CUST_00339,67,72.04,5147.44,Month-to-month,DSL,1,Bank transfer (automatic),0
CUST_00340,48,83.34,4018.52,Two year,Fiber optic,2,Electronic check,0
CUST_00341,71,101.47,7110.3,Month-to-month,Fiber optic,1,Mailed check,1
CUST_00342,16,38.1,676.88,Two year,No,3,Credit card (automatic),0
CUST_00343,1,32.57,50.0,Two year,DSL,2,Credit card (automatic),0
CUST_00344,65,113.22,6839.2,One year,No,3,Electronic check,0
CUST_00345,48,81.09,3412.97,One year,Fiber optic,1,Credit card (automatic),0
CUST_00346,50,54.64,2763.66,One year,No,2,Credit card (automatic),0
CUST_00347,21,55.8,1258.86,Two year,Fiber optic,0,Bank transfer (automatic),0
CUST_00348,25,18.0,473.51,Month-to-month,Fiber optic,0,Credit card (automatic),0
CUST_00349,49,71.58,3827.97,One year,Fiber optic,0,Electronic check,0
